id   ,name         ,right_ascension  ,right_ascension_err ,declination      ,declination_err ,period_s              ,period_s_err ,dm         ,dm_err ,distance_kpc ,distance_dm_kpc
   1 ,J0002+6216   ,00:02:58.17      ,                  2 ,+62:16:09.4      ,              1 ,0.1153635682680       ,          14 ,218.6      ,     6 ,6.357        ,6.357
   2 ,J0006+1834   ,00:06:04.8       ,                  2 ,+18:34:59        ,              4 ,0.69374767047         ,          14 ,11.41      ,    55 ,0.860        ,0.860
   3 ,J0007+7303   ,00:07:01.7       ,                  2 ,+73:03:07.4      ,              8 ,0.3158731909          ,           3 ,*          ,     0 ,1.400        ,*
   4 ,J0011+08     ,00:11:34         ,                114 ,+08:10           ,              8 ,2.55287               ,           0 ,24.9       ,     0 ,5.399        ,5.399
   5 ,J0012+5431   ,00:12:23.3       ,                  1 ,+54:31:47        ,              3 ,3.02530070997         ,          19 ,131.3      ,     7 ,5.425        ,5.425
   6 ,B0011+47     ,00:14:17.75      ,                  4 ,+47:46:33.4      ,              3 ,1.240699038946        ,          11 ,30.405     ,    13 ,1.776        ,1.776
   7 ,J0021-0909   ,00:21:51.47      ,                  3 ,-09:09:58.7      ,             11 ,2.31413082909         ,          17 ,25.2       ,    10 ,25.000       ,+25.00
   8 ,J0023+0923   ,00:23:16.877498  ,                  8 ,+09:23:23.8604   ,              3 ,0.003050203104754390  ,           4 ,14.3216    ,     6 ,1.818        ,1.247
   9 ,J0024-7204aa ,00:24:05.67      ,                  0 ,-72:04:52.62     ,              0 ,0.00184               ,           0 ,24.971     ,     7 ,4.521        ,2.688
  10 ,J0024-7204ab ,00:24:08.1615    ,                  5 ,-72:04:47.602    ,              2 ,0.0037046394947985    ,           6 ,24.37      ,     2 ,4.521        ,2.540
  11 ,J0024-7204ac ,00:24:05.67      ,                  0 ,-72:04:05        ,              0 ,0.00274               ,           0 ,24.46      ,     0 ,4.521        ,2.562
  12 ,J0024-7204ad ,00:24:05.67      ,                  0 ,-72:04:05        ,              0 ,0.00374               ,           0 ,24.41      ,     0 ,4.521        ,2.551
  13 ,B0021-72C    ,00:23:50.3546    ,                  1 ,-72:04:31.5048   ,              4 ,0.00575677999551635   ,          14 ,24.5955    ,     8 ,4.521        ,2.594
  14 ,B0021-72D    ,00:24:13.88092   ,                  6 ,-72:04:43.8524   ,              2 ,0.00535757328486573   ,           9 ,24.7432    ,     9 ,4.521        ,2.631
  15 ,B0021-72E    ,00:24:11.10528   ,                  5 ,-72:05:20.1492   ,              2 ,0.00353632915276244   ,           4 ,24.236     ,     2 ,4.521        ,2.509
  16 ,B0021-72F    ,00:24:03.85547   ,                 10 ,-72:04:42.8183   ,              2 ,0.00262357935251262   ,           4 ,24.382     ,     5 ,4.521        ,2.543
  17 ,B0021-72G    ,00:24:07.9603    ,                  1 ,-72:04:39.7030   ,              5 ,0.00404037914356515   ,          14 ,24.436     ,     4 ,4.521        ,2.556
  18 ,B0021-72H    ,00:24:06.7032    ,                  2 ,-72:04:06.8067   ,              6 ,0.00321034070935032   ,          11 ,24.369     ,     8 ,4.521        ,2.541
  19 ,B0021-72I    ,00:24:07.9347    ,                  2 ,-72:04:39.6815   ,              7 ,0.00348499206166289   ,          13 ,24.43      ,     1 ,4.521        ,2.555
  20 ,B0021-72J    ,00:23:59.4077    ,                  1 ,-72:03:58.7908   ,              5 ,0.00210063354535246   ,           5 ,24.5932    ,     1 ,4.521        ,2.594
  21 ,B0021-72L    ,00:24:03.7721    ,                  3 ,-72:04:56.923    ,              2 ,0.0043461679994616    ,           4 ,24.40      ,     1 ,4.521        ,2.547
  22 ,B0021-72M    ,00:23:54.4899    ,                  3 ,-72:05:30.756    ,              2 ,0.0036766432176002    ,           3 ,24.43      ,     2 ,4.521        ,2.553
  23 ,B0021-72N    ,00:24:09.1880    ,                  2 ,-72:04:28.8907   ,              7 ,0.00305395434626085   ,          10 ,24.574     ,     9 ,4.521        ,2.589
  24 ,J0024-7204O  ,00:24:04.65254   ,                  6 ,-72:04:53.7670   ,              2 ,0.00264334329724357   ,           5 ,24.356     ,     2 ,4.521        ,2.537
  25 ,J0024-7204P  ,00:24:20         ,                 29 ,-72:04:10        ,             62 ,0.0036430207          ,           3 ,24.29      ,     3 ,4.521        ,2.523
  26 ,J0024-7204Q  ,00:24:16.4909    ,                  1 ,-72:04:25.1644   ,              6 ,0.00403318118457258   ,          15 ,24.265     ,     4 ,4.521        ,2.517
  27 ,J0024-7204R  ,00:24:07.5851    ,                  2 ,-72:04:50.3954   ,              5 ,0.00348046270749329   ,          13 ,24.361     ,     7 ,4.521        ,2.538
  28 ,J0024-7204S  ,00:24:03.9794    ,                  1 ,-72:04:42.3530   ,              4 ,0.00283040595787912   ,           8 ,24.376     ,     4 ,4.521        ,2.542
  29 ,J0024-7204T  ,00:24:08.5491    ,                  5 ,-72:04:38.932    ,              3 ,0.0075884798073671    ,          12 ,24.41      ,     2 ,4.521        ,2.550
  30 ,J0024-7204U  ,00:24:09.8366    ,                  1 ,-72:03:59.6882   ,              4 ,0.00434282669639233   ,          12 ,24.337     ,     4 ,4.521        ,2.534
  31 ,J0024-7204V  ,00:24:05.67      ,                  0 ,-72:04:52.62     ,              0 ,0.00481016762         ,           7 ,24.105     ,     0 ,4.521        ,2.480
  32 ,J0024-7204W  ,00:24:06.058     ,                  1 ,-72:04:49.088    ,              2 ,0.0023523445319370    ,           3 ,24.367     ,     3 ,4.521        ,2.539
  33 ,J0024-7204X  ,00:24:22.38565   ,                  9 ,-72:01:17.4414   ,              7 ,0.00477152291069356   ,           5 ,24.539     ,     5 ,4.521        ,2.587
  34 ,J0024-7204Y  ,00:24:01.4026    ,                  1 ,-72:04:41.8363   ,              4 ,0.00219665714352123   ,           5 ,24.468     ,     4 ,4.521        ,2.563
  35 ,J0024-7204Z  ,00:24:06.041     ,                  2 ,-72:05:01.480    ,              6 ,0.004554447383906     ,           3 ,24.45      ,     4 ,4.521        ,2.559
  36 ,J0026-1955   ,00:26:36         ,                  0 ,-19:55:59        ,              0 ,1.306150              ,           5 ,20.869     ,     5 ,25.000       ,+25.00
  37 ,J0026+6320   ,00:26:50.561     ,                  8 ,+63:20:00.87     ,              5 ,0.31835777079         ,           3 ,245.06     ,     6 ,6.619        ,6.619
  38 ,J0030+0451   ,00:30:27.42750   ,                  4 ,+04:51:39.7116   ,             14 ,0.0048654532114961    ,          19 ,4.33294    ,    11 ,0.324        ,0.345
  39 ,J0033+57     ,00:33            ,                  0 ,+57              ,              0 ,0.315                 ,           0 ,75.65      ,     9 ,2.251        ,2.251
  40 ,J0033+61     ,00:33            ,                  0 ,+61              ,              0 ,0.912                 ,           0 ,37.7       ,     3 ,1.654        ,1.654
  41 ,J0034-0534   ,00:34:21.83422   ,                  8 ,-05:34:36.722    ,              3 ,0.0018771818845850    ,           2 ,13.76517   ,     4 ,1.348        ,1.348
  42 ,B0031-07     ,00:34:08.8703    ,                  1 ,-07:21:53.409    ,              2 ,0.9429509945598       ,          17 ,10.922     ,     6 ,1.030        ,0.996
  43 ,J0034+69     ,00:34            ,                  3 ,+69:43           ,             18 ,0.03680412            ,          16 ,80.010     ,    15 ,2.283        ,2.283
  44 ,J0036-1033   ,00:36:15.01      ,                  4 ,-10:33:14.2      ,              9 ,0.900009289           ,           3 ,23.1       ,     2 ,25.000       ,+25.00
  45 ,J0038-2501   ,00:38:10.264     ,                 10 ,-25:01:30.73     ,              2 ,0.2569264575329       ,          17 ,5.710      ,     3 ,0.604        ,0.604
  46 ,J0039+35     ,00:39:06         ,                 12 ,+35:45           ,              3 ,0.5367                ,           0 ,53.04      ,     2 ,25.000       ,+25.00
  47 ,B0037+56     ,00:40:32.3899    ,                  1 ,+57:16:24.833    ,              1 ,1.1182253452412       ,          13 ,92.5146    ,    25 ,2.420        ,2.420
  48 ,J0043-73     ,00:43:25         ,                 95 ,-73:11           ,              7 ,0.93742937            ,          26 ,115.1      ,    34 ,58.938       ,58.938
  49 ,J0045-7042   ,00:45:25.69      ,                 17 ,-70:42:07.1      ,             13 ,0.63233580002         ,           6 ,71.3       ,     3 ,59.700       ,58.577
  50 ,J0045-7319   ,00:45:35.16      ,                  7 ,-73:19:03.0      ,              2 ,0.92627590497         ,           3 ,104.6      ,     4 ,59.700       ,58.705
